"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000181690",234.865758193225,1.05598057639906,0.159445103167045,6.62284733381083,3.52344875878975e-11,7.60642118047531e-07
"ENSG00000168143",180.340048027679,1.34219406136267,0.254349271670474,5.27697230091373,1.31335728905567e-07,0.00141763785780669
"ENSG00000089101",537.505766686743,1.32995760975812,0.259861351981616,5.1179507826628,3.08873173265062e-07,0.00222265135481539
"ENSG00000131080",109.087627878591,1.37017547185449,0.291003763762379,4.7084458776049,2.49612621797772e-06,0.0107772745587406
"ENSG00000197872",279.250949506432,-0.871793652534267,0.183507789536282,-4.75071742042808,2.02696222533115e-06,0.0107772745587406
"ENSG00000145949",616.894204432763,-1.41998937251402,0.305004390201446,-4.65563584699933,3.22982361024319e-06,0.011620905349655
"ENSG00000005020",419.818438650473,0.853831249232867,0.186564408491923,4.57660309452771,4.72586865089137e-06,0.0141226641460237
"ENSG00000173253",42.8090646176361,-1.06178935296695,0.234370824018187,-4.53038195950769,5.88771434659132e-06,0.0141226641460237
"ENSG00000235162",649.471539595256,1.77846682124272,0.392476306596202,4.53139919876104,5.85942945854567e-06,0.0141226641460237
"ENSG00000147883",258.022460709464,1.26799427333019,0.287821983925078,4.40548097139188,1.05549417836565e-05,0.0207145530205069
"ENSG00000159212",110.648905765483,-1.86118130031345,0.422311635139238,-4.40712768830015,1.04750441756027e-05,0.0207145530205069
"ENSG00000083720",559.257834513625,1.29269598651466,0.303979400003985,4.25257759735599,2.11323954832369e-05,0.0380171794743431
"ENSG00000119681",593.706816460557,0.787489425877787,0.186063933201455,4.23235934191049,2.31252539088088e-05,0.038402152414105
"ENSG00000164588",336.809098883103,1.38402081260902,0.329900036367991,4.19527329504504,2.72542766302797e-05,0.0392243549262986
"ENSG00000228839",21.9448965922531,1.32102495978169,0.314867909743649,4.19548934299848,2.72283089644447e-05,0.0392243549262986
"ENSG00000256845",108.225779209571,0.772114226697433,0.186981113519696,4.1293701388515,3.63758390149151e-05,0.0490801007908742
"ENSG00000168702",1284.48573608585,1.30759415655985,0.317980705870778,4.11218080977288,3.91939144867215e-05,0.0497716603493732
"ENSG00000162772",46.7715719007899,-1.58896523860657,0.38985746108048,-4.07575946912186,4.58644087420077e-05,0.0550067142179145
"ENSG00000145147",433.290254437362,0.592794557459466,0.146359866525044,4.05025347135059,5.11621846244514e-05,0.0581310127196135
"ENSG00000148677",242.881259425562,-1.75518088582813,0.444052218703125,-3.95264523382907,7.72919880436908e-05,0.0817084945043719
"ENSG00000171055",1351.24156362773,0.868400956795179,0.220073782353882,3.94595370473879,7.94829713077548e-05,0.0817084945043719
"ENSG00000108231",276.094416728796,1.10711212942817,0.289296665686117,3.82690940043315,0.000129762247803282,0.127332154798966
"ENSG00000171004",139.605480483588,-1.1456136352053,0.30885673370128,-3.70920724789284,0.000207909197264669,0.195145380458681
