"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000181690",234.865758193225,1.05598057639906,0.159445103167045,6.62284733381083,3.52344875878975e-11,7.60642118047531e-07
"ENSG00000168143",180.340048027679,1.34219406136267,0.254349271670474,5.27697230091373,1.31335728905567e-07,0.00141763785780669
"ENSG00000089101",537.505766686743,1.32995760975812,0.259861351981616,5.1179507826628,3.08873173265062e-07,0.00222265135481539
"ENSG00000131080",109.087627878591,1.37017547185449,0.291003763762379,4.7084458776049,2.49612621797772e-06,0.0107772745587406
"ENSG00000145949",616.894204432763,-1.41998937251402,0.305004390201446,-4.65563584699933,3.22982361024319e-06,0.011620905349655
"ENSG00000173253",42.8090646176361,-1.06178935296695,0.234370824018187,-4.53038195950769,5.88771434659132e-06,0.0141226641460237
"ENSG00000235162",649.471539595256,1.77846682124272,0.392476306596202,4.53139919876104,5.85942945854567e-06,0.0141226641460237
"ENSG00000147883",258.022460709464,1.26799427333019,0.287821983925078,4.40548097139188,1.05549417836565e-05,0.0207145530205069
"ENSG00000159212",110.648905765483,-1.86118130031345,0.422311635139238,-4.40712768830015,1.04750441756027e-05,0.0207145530205069
"ENSG00000083720",559.257834513625,1.29269598651466,0.303979400003985,4.25257759735599,2.11323954832369e-05,0.0380171794743431
"ENSG00000164588",336.809098883103,1.38402081260902,0.329900036367991,4.19527329504504,2.72542766302797e-05,0.0392243549262986
"ENSG00000228839",21.9448965922531,1.32102495978169,0.314867909743649,4.19548934299848,2.72283089644447e-05,0.0392243549262986
"ENSG00000168702",1284.48573608585,1.30759415655985,0.317980705870778,4.11218080977288,3.91939144867215e-05,0.0497716603493732
